entity,board_id,board_name,board_amountKind,board_defaultAmount,board_createdAt,checkin_id,checkin_boardId,checkin_amount,checkin_note,checkin_createdAt
Checkin,,,,,,F9C05EB5-A5F6-48DF-A6B3-90CAF5695426,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2026-02-09T15:23:06Z
Checkin,,,,,,01D4748D-F110-4EFF-96D1-7D5A7EDA6EA8,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-01-22T15:52:28Z
Checkin,,,,,,F7D028BD-8EAD-48E0-9D79-11BD0CE06BD2,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2026-02-07T12:21:31Z
Checkin,,,,,,879D8066-822B-424D-9566-CBFAC303D59B,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2026-01-26T12:00:29Z
Checkin,,,,,,67E6195A-8702-4048-90FD-B868C2E86708,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-07-26T15:09:31Z
Checkin,,,,,,32C2382D-4ABD-457A-8259-91BCB5246CB0,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-07-20T08:15:00Z
Checkin,,,,,,EE7F694D-77AF-49C4-912F-EEB2B6F72CD1,7C0685D2-5C4C-4D55-9C60-E21C5D8CA51E,35.0,,2025-12-08T20:11:00Z
Checkin,,,,,,A4B07334-0059-40EE-A1C5-3F04D37828A5,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-05-13T14:40:34Z
Checkin,,,,,,4A2772C1-0D4E-4B44-8D99-A45AE66F9B55,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-10-26T12:13:00Z
Checkin,,,,,,3B9E8EF0-987F-4AAF-8557-000721C753E6,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2026-01-12T09:15:00Z
Checkin,,,,,,90081E44-995D-45E8-BAE1-2B2E12F38A77,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2026-02-09T07:53:52Z
Checkin,,,,,,461A9969-2CA3-448E-8D68-ADF3C3740D1F,D087A067-A79A-472D-A1F2-A938EF405886,,,2025-12-30T20:19:00Z
Checkin,,,,,,28AA2723-7A25-414B-89F0-BC3A023CA774,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2026-01-20T11:44:31Z
Checkin,,,,,,23C938E3-805C-4530-ACDA-DC745138FA9F,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-09-29T17:19:23Z
Checkin,,,,,,722F0840-D25B-4DF7-9108-F427CAD74B67,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2024-08-22T17:26:58Z
Checkin,,,,,,48F402ED-282B-46E1-AEC9-5C00766E78C5,7C0685D2-5C4C-4D55-9C60-E21C5D8CA51E,4.0,Kompletter breakdown haha,2025-11-30T21:36:35Z
Checkin,,,,,,D7514471-4D61-4D67-8840-3DB34CB92739,02D6D9D5-315E-4B58-8D0A-62489C7C24A2,,,2025-09-08T11:55:27Z
